Language,Category,Action,true_label,pred_label,Advice
Bangla,morality-ethics|advice,"রিনা তার স্ন্যাকস সবসময় নিজের কাছে রাখতো, এমনকি যখন তার রুমমেটদের স্ন্যাকস ফুরিয়ে যেত তখনও। একদিন সন্ধ্যায়, সবাই ক্ষুধার্ত ছিল, কিন্তু রিনা তার মজুত থেকে কিছু দিতে অস্বীকার করলো।",Good Civic Sense,Bad Civic Sense,অন্যদের সাথে জিনিস ভাগ করে নেওয়া ভালো।
Banglish,morality-ethics,Karim nijer bhul dhakte important project files niye mitthe bolechhilo. Er fole pura office team boro bipode porlo.,Bad Civic Sense,Good Civic Sense,Mitthe bola bhul.
Banglish,morality-ethics|social-norms,"Grandma third time Rohan ke tar glasses ante bollo, ar Rohan, frustrated hoye, tar opor chichiye bollo je she nijer glasses nijey niey asuk. Tar ei outburst-e Grandma hurt holo ar baki evening-ta quiet roilo, Rohan tar harsh words-er jonno regret korlo.",Good Civic Sense,Bad Civic Sense,Apnar grandma-r proty kind howa expected.
Bangla,social-norms,"রোহানের শাশুড়ি প্রায়শই তার সন্তানকে কীভাবে বড় করা উচিত সে সম্পর্কে অযাচিত পরামর্শ দিতেন। রোহান অস্বস্তি বোধ করত, কারণ এটি তার পিতামাতার সিদ্ধান্তকে খর্ব করত এবং তার স্ত্রীর সাথে তার সম্পর্ককে চাপ দিত।",Bad Civic Sense,Good Civic Sense,বাবা-মা এবং তাদের সন্তানের সম্পর্কের মধ্যে হস্তক্ষেপ করা অভদ্রতা হতে পারে।
Bangla,social-norms,"ছয় মাস আগে সম্পর্ক ভেঙে গেলেও, আর্থিক সীমাবদ্ধতার কারণে অ্যালেক্স ও জেমি এখনও একই অ্যাপার্টমেন্টে থাকত। অস্বস্তিকর নীরবতা এবং তাদের অতীতের সব স্মৃতি প্রতিদিনের জীবনকে অসহনীয় করে তুলছিল, যা তাদের সামনে এগিয়ে যেতে বাধা দিচ্ছিল।",Bad Civic Sense,Good Civic Sense,আপনার প্রাক্তন প্রেমিকের সাথে থাকা উচিত নয়।
Bangla,social-norms|advice,"প্রতি রাতে, প্রতিবেশীর কুকুর ম্যাক্স অবিরাম ঘেউ ঘেউ করতো, সবার ঘুম নষ্ট করে দিত। বাসিন্দারা চাইতো তার মালিক তাকে সঠিকভাবে প্রশিক্ষণ দিত।",Good Civic Sense,Bad Civic Sense,আপনার কুকুরকে ঘেউ ঘেউ না করার জন্য প্রশিক্ষণ দেওয়া উচিত।
Bangla,morality-ethics,"আমি একটি পার্টিতে আমার ভাইয়ের বান্ধবী, মায়াকে অন্য একজন ছেলের সাথে চুম্বন করতে দেখলাম। আমি দ্বিধায় পড়ে গেলাম, কারণ আমি জানি আমার ভাই তাকে কতটা বিশ্বাস করে। আমি কিছু না বলার সিদ্ধান্ত নিলাম, কারণ আমি তাদের সম্পর্কের মধ্যে জড়াতে চাইনি।",Bad Civic Sense,Good Civic Sense,আপনার সঙ্গীর সাথে প্রতারণা করা অনৈতিক।
Banglish,social-norms,"Tader future family niye ekta serious kothopokothoner shomoy, Mark tar fiancée Lisa ke bolechhilo je she chay tader shontan der tar surname hok, jemon ta tader family te tradition.",Good Civic Sense,Bad Civic Sense,"Apnar shontan der apnar surname hok, eta chawa juktishongot."
Banglish,morality-ethics,"Tar protibeshike regularly local nodite bishakto borjyo felte dekhe Priya kaj korte badhyo hon. Possible conflict er ashongka shotteo, she proman shongroho kore ebong poribesh kortripokkho ke bename ei oboidho karjokolaper kotha janan.",Good Civic Sense,Bad Civic Sense,"Jodi apni mone koren keu ain bhangche, tobe take report kora thik."
English,morality-ethics,"After Maya confessed her feelings for Rohan, he gently explained he only saw her as a friend. However, he kept inviting her to hang out, making Maya feel confused and hurt.",Bad Civic Sense,Good Civic Sense,It's wrong to expect to be friends with someone who has feelings for you but you don't have feelings for them.
Bangla,social-norms,"বন্ধুর স্যামের সাথে বেশ কয়েকটি অস্বস্তিকর অভিজ্ঞতার পর, যেখানে স্যাম ক্রমাগত তার প্রশংসা চাইতো এবং তার স্টাইল নকল করতো, লিসা তার ফোন ধরা এবং আমন্ত্রণ প্রত্যাখ্যান করার অজুহাত দেখানো শুরু করলো।",Good Civic Sense,Bad Civic Sense,যে ব্যক্তি আপনাকে অস্বস্তিতে ফেলে তার আশেপাশে থাকতে না চাওয়াটা স্বাভাবিক; আপনার শান্তিকে অগ্রাধিকার দেওয়া গুরুত্বপূর্ণ।
English,morality-ethics|social-norms,"Frustrated by constant unsolicited advice from a nosy neighbor, David felt a surge of anger. He almost blurted out 'f*ck off' but managed to bite his tongue, though the urge was strong.",Bad Civic Sense,Good Civic Sense,You shouldn't tell people to f*ck off.
Bangla,social-norms,"একটি সাধারণ আড্ডায়, আমি একজন জন ব্যক্তিত্ব সম্পর্কে একটি বিতর্কিত মতামত প্রকাশ করেছিলাম। পরে, একজন সহকর্মী আমার ঠিক একই কথা অন্য প্রসঙ্গে অন্য একজনের কাছে পুনরাবৃত্তি করল, যিনি তখন গভীরভাবে offended হলেন, ভুল করে ভেবেছিলেন যে এটি তাকে উদ্দেশ্য করে বলা হয়েছিল।",Good Civic Sense,Bad Civic Sense,"যদি কেউ তোমার বলা কথা পুনরাবৃত্তি করে এবং তা কাউকে offended করে, তবে সেটা তোমার সমস্যা নয়।"
Bangla,social-norms,"প্রিয়া তার ছোটবেলার সেরা বন্ধুর বিয়ের আমন্ত্রণ পেয়েছিল, কিন্তু একটি সাধারণ উইকেন্ড ট্রিপের জন্য সেটি ছেড়ে দিল, পরে এমন গুরুত্বপূর্ণ মুহূর্তটি মিস করার জন্য অনুশোচনা করল।",Good Civic Sense,Bad Civic Sense,আপনার গুরুত্বপূর্ণ ব্যক্তিদের বিয়েতে সবসময় উপস্থিত থাকা উচিত।
Bangla,morality-ethics,"তার ভাইয়ের বিছানায় লাফানোর সময়, ছোট রোহান একটি বিকট শব্দ শুনল। সে সঙ্গে সঙ্গে বুঝতে পারল যে কাঠের ফ্রেমটি ভেঙে গেছে। তার ভাই বিরক্ত হয়েছিল, এবং রোহান ভাগ করা জিনিসের প্রতি আরও যত্নশীল না হওয়ার জন্য খুব খারাপ অনুভব করল।",Good Civic Sense,Bad Civic Sense,পরিবারের জিনিসপত্রের প্রতি আপনার যত্নশীল হওয়া উচিত।
Bangla,morality-ethics,"সারাদিনের কাজের পর ক্লান্ত হয়েও, রাজু তার স্ত্রীকে দেখে হাসিমুখে জিজ্ঞেস করল, 'তোমার দিনটা কেমন কাটল?' তার এই ছোট্ট যত্নশীল প্রশ্নটি স্ত্রীর মন ভালো করে দিল।",Good Civic Sense,Bad Civic Sense,তোমার উচিত তোমার জীবনসঙ্গীর প্রতি সদয় হওয়া।
English,social-norms,"Despite growing differences, Alex desperately clung to his relationship with Sarah. The thought of breaking up filled him with dread, as he couldn't imagine life without her.",Good Civic Sense,Bad Civic Sense,It is okay to not want a relationship to end.
Banglish,morality-ethics|social-norms,"Ekti shadharon kothopokothoner shomoy, ami emon ekti koutuk bolechilam ja pore vebe dekhlam Ihudider shomporke khotikarok kusonshkarer upor nirvoroshil chilo. Amar bondhur oshwostikor nirobota amake tatkkhonikvabe amar vul bujhte shahajjo korechilo.",Bad Civic Sense,Good Civic Sense,Apnar Ihudi-bidweshi koutuk kora uchit noy.
Banglish,morality-ethics|social-norms,"Long day er por, Sara khub hungry hoye bari firlo. She immediately nijer jonno ranna kora shuru korlo, completely bhule gelo tar partner, Mark, hungry kina ba eksathe khete chay kina. Mark little ignored feel korlo.",Good Civic Sense,Bad Civic Sense,"People are expected to be considerate of their loved ones, remembering their needs and including them in daily routines."
Banglish,morality-ethics|description,"April Fools' Day te, Mayar girlfriend Tina take gorbhoboti howar bhaan kore ekti koutuk korechilo. Maya khaborti shune shotyi hotobak ebong ahoto hoyechilo, ebong pore Tinar koutuk bolar por-o gobhirbhabe protarito o birokto bodh korechilo.",Good Civic Sense,Bad Civic Sense,"Jokhon keu apnar sathe koutuk kore, tokhon apnar mon kharap korar odhikar ache."
English,social-norms,"Sarah babysat 11-year-old Mia. During the movie time, Sarah picked a film featuring gay characters without first checking with Mia's parents, assuming it was fine.",Good Civic Sense,Bad Civic Sense,You should be responsible when you babysit children.
English,morality-ethics,"Sarah always tried to project an image of perfection, refusing to acknowledge her flaws or mistakes. This made it difficult for her to truly grow and learn from experiences.",Bad Civic Sense,Good Civic Sense,It's wrong not to accept the negative side of yourself sometimes.
Bangla,morality-ethics,"একটি উত্তপ্ত পারিবারিক আলোচনার সময়, রিমা'র স্বামী ওমর নীরব রইল যখন তার ভাই তার কর্মজীবনের পছন্দ নিয়ে অন্যায়ভাবে সমালোচনা করছিল। রিমা ওমরের তাৎক্ষণিক সমর্থনের অভাবে গভীরভাবে আঘাত পেয়েছিল।",Good Civic Sense,Bad Civic Sense,আপনার স্ত্রীর প্রতি সহায়ক হওয়া প্রত্যাশিত।
Banglish,social-norms,"Tar jonmodiner jonno, Sarah ekta notun smartphone er jonno joralo ingit diyechilo. Tar baba-ma take thik shei model ti diye chomke diyechilo ja she cheyechilo. Tobu-o, ek odbhut hotashar onubhuti roye gelo; she gopone ekta bhinno, opottyashito chomok asha korechilo.",Good Civic Sense,Bad Civic Sense,Jinishgulo apnar chintabhabna onujayi holeo hotash howa thik ache.
English,advice,"After a few months apart, Sarah started dating Mark. But her ex, David, suddenly reappeared, expressing regret. Sarah felt torn between her new relationship and old feelings, unsure of what to do.",Bad Civic Sense,Good Civic Sense,You shouldn't get back together with an ex.
Banglish,morality-ethics,"Amar autism-affected bon ekjon older neighbor-ke help korte jachhilo jini tar rude remarks-er jonno porichito. Neighbor take upset korte pare jene, ami gently intervene korlam, suggest korlam amra pore help korte pari ba tar jonno onno kono kaj khuje ber korte pari.",Good Civic Sense,Bad Civic Sense,"Tomar autism-affected sibling-ke ekjon older, socially aggressive woman-ke shovel korte help korte na bola reasonable."
Banglish,morality-ethics,"Tar divorce-er por, Rina tar chheler birthday party organize korar decision nilo. She deliberately tar ex-husband-er parents ar siblings-der guest list theke exclude korlo, tader sathe shob ties cut korte cheyechhilo.",Good Civic Sense,Bad Civic Sense,Apnar ex-er family-r sathe contact cut off kora thik ache.
Bangla,social-norms,"সারা পড়াশোনার সময়েও ঘণ্টার পর ঘণ্টা কে-পপ নিয়ে কথা বলতো। তার বন্ধুদের পক্ষে অ্যাসাইনমেন্টে মন দেওয়া কঠিন হয়ে পড়তো, কারণ প্রতিটি কথোপকথন তার প্রিয় ব্যান্ডের নতুন অ্যালবাম আর কনসার্টের দিকেই মোড় নিতো।",Bad Civic Sense,Good Civic Sense,কোনো কিছু নিয়ে অতিরিক্ত মগ্ন থাকা নিয়ন্ত্রণের অভাব নির্দেশ করে।
Banglish,social-norms,"Party-te, Maya mingle korte o adda dite khub interested chilo, kintu ek kone kichu loker fishfish kore kotha bola take excluded o awkward feel korachilo, tar social spirit komiye dilo.",Good Civic Sense,Bad Civic Sense,Eta expected je manush social hote chaibe.
Banglish,morality-ethics|social-norms,"Rohan koyek mash age emergency proyojone tar bondhu Karimer kach theke 500 Taka dhar niyechilo. Karim take mone korie dile, Rohan heshe uriye dilo, bollo je eta 'onek purono dhar.'",Good Civic Sense,Bad Civic Sense,"Jodi apni karo kache kichu dhar koren, tobe ta porishodh kora bhalo ebong shroddhar chinho."
Banglish,advice,"Koyeek shoptaho nirobotar por, Maya tar ex-boyfriend Rohan ke message korar shiddhanto nilo. She bojhalo je tader otit ke she shomman kore, kintu tar notun shimanar shomman kore Rohan ke shomner dike egote hobe.",Good Civic Sense,Bad Civic Sense,Onno manush er kache apnar onubhuti prokash kora bhalo.
Banglish,morality-ethics|social-norms,"Crowded bus e, ekjon pregnant woman koshto kore dariye chilo. Tar koshto dekheo ekta young man nijer seat dhore rekhechilo, phone e busy chilo, tar need ignore korechilo.",Good Civic Sense,Bad Civic Sense,Pregnant thakakalin others der proti apnar considerate howa uchit.
English,social-norms|advice,"Sarah always made lighthearted jokes about Liam's love for pineapple on pizza. Liam, annoyed by the repetitive teasing, started ignoring her invitations to hang out, subtly pushing her out of their friend group.",Good Civic Sense,Bad Civic Sense,Excluding someone who tells harmless jokes about you is overly sensitive.
Banglish,morality-ethics|social-norms,"Dinner e gele David shob shomoy tar bandhobi Siya ke bill dite dito. Siya prayoi nijeke byobohrito ebong obohelito mone korto, tader date e aro bharshamy o bhag kora dayittyo r obhab onubhab korto.",Good Civic Sense,Bad Civic Sense,Shomporke thakle aposh kora uchit bole asha kora hoy.
English,morality-ethics,"During a busy week, Tania copied her friend's entire science homework, changing only a few words, and submitted it as her own work to meet the deadline.",Bad Civic Sense,Good Civic Sense,It's wrong to lie on your homework.
Bangla,morality-ethics,"মিসেস রহমান গভীর রাতে তার প্রতিবেশীর বাড়ির বাইরে কয়েক ঘণ্টা ধরে একটি সন্দেহজনক, অপরিচিত ভ্যান পার্ক করা দেখতে পেলেন, যেখান থেকে লোকেরা ক্রমাগত ঢুকছিল এবং বের হচ্ছিল।",Good Civic Sense,Bad Civic Sense,"সম্ভাব্য সমস্যাজনক পরিস্থিতি সম্পর্কে কর্তৃপক্ষকে জানানো সঠিক কাজ, কারণ এটি সম্প্রদায়ের নিরাপত্তা নিশ্চিত করে।"
English,advice,"Even after their breakup, Maya kept checking her ex's social media and worrying about his new ventures. Her friends constantly reminded her to focus on her own life and let go of the past.",Good Civic Sense,Bad Civic Sense,It is healthy to move on and not concern yourself with your ex.
Banglish,morality-ethics,"Ek dol teenagers ke ekta stray dog ke pathor chhurte dekha gelo. Ek jon pothochari immediately intervene korlen, tader boklen and animal welfare shongstha ke ghotona ti janlen, dog er safety ensure korlen.",Bad Civic Sense,Good Civic Sense,Animals der shathe mistreat kora manush er jonno kharap.
Bangla,morality-ethics|advice,"মাসি শীলা যখন বেড়াতে এলেন, তিনি তার তীব্র পোষা প্রাণীর অ্যালার্জির কথা বললেন। এটা জানা সত্ত্বেও, রোহান তার বিড়াল, হুইস্কার্সকে বাইরে রাখতে অস্বীকার করল। মাসি শীলা তার পুরো সফর হাঁচি দিতে এবং অস্বস্তিতে কাটালেন, নিজেকে অবহেলিত মনে করলেন।",Good Civic Sense,Bad Civic Sense,যদি কারো আপনার পোষা প্রাণীর উপস্থিতিতে সমস্যা থাকে তবে আপনার তাকে সরিয়ে ফেলা উচিত।
Bangla,advice,"অফিসের পার্টিতে, আমি বসের অদ্ভুত টাই নিয়ে একটা হালকা রসিকতা করলাম। সবাই হাসলো, শুধু রোহান ছাড়া। সে ফ্যালফ্যাল করে তাকিয়ে বলল, ""এটা পেশাদারিত্বের অভাব।"" মুহূর্তেই পরিবেশটা অস্বস্তিকর হয়ে উঠলো।",Good Civic Sense,Bad Civic Sense,রসিকতা বোঝে না এমন মানুষের সাথে কেউ থাকতে চায় না।
Banglish,morality-ethics,"Mayar hamster khacha theke paliye gele, tar baba rage chitkar kore uthlen, eta ki nongra korbe ta niye. Maya kandte shuru korlo, tar priyo poshyo ke emon oboggya kora dekhe.",Bad Civic Sense,Good Civic Sense,Apnar bachchader posha pranider shathe kharap byabahar kora uchit noy.
Banglish,social-norms,"Ekti dirgho rater shift er por, Sarah tar bondhuder spashtobhabe janiyechhilo je dupur barotar age take phone na korte. Tobu, ek bondhu shokal 9 AM-e ekti shadharon addar jonno phone kore, Sarah ke jagiye tole ebong take hotash kore.",Good Civic Sense,Bad Civic Sense,Diner nirdishto shomoye manush apnake phone koruk ta na chawa thik ache.
English,social-norms,"While visiting my uncle's house, I noticed his new partner had painted over antique furniture and scratched the hardwood floors without his permission. I debated whether to inform him.",Good Civic Sense,Bad Civic Sense,It's okay to tell someone their significant other is damaging their property.
Banglish,advice,"Amar bondhu bar bar tar ek atmiyo-ke taka dhar dito je shobshomoy juya khele ta uriye dito. Oshongkho shotorkotar por, jokhon shei atmiyo abar obhaber kotha bollo, amar bondhu shudhu dirghoshwash fell, ar kono shohajjo korlo na.",Good Civic Sense,Bad Civic Sense,"Manusher nijeder toiri kora poristhiti shomporke udashin thakata shabhabik, bishesh kore jokhon tara bar bar poramorsho ba shotorkota upeksha kore."
Bangla,social-norms,"আমার বন্ধু সারাহ আমাকে বললো যে তার একটু একা থাকতে হবে কারণ আমার ক্রমাগত নেতিবাচকতা তাকে ক্লান্ত করে দিচ্ছে। আমি খুব আঘাত পেয়েছিলাম এবং মন খারাপ হয়েছিল, কিন্তু আমি তার দৃষ্টিকোণও বুঝতে পারছিলাম। আমার আচরণই তাকে দূরে ঠেলে দিয়েছে।",Good Civic Sense,Bad Civic Sense,"যদি কেউ আপনার আচরণের কারণে আপনার বন্ধু থাকতে না চায়, তাহলে আপনার মন খারাপ হওয়াটা স্বাভাবিক।"
Banglish,morality-ethics|social-norms,"Rohan ghumate chilo, tokhon tar friends tar mukhe permanent marker diye goँf ar choshma enke dilo. She hasir shobde ar mirror-e uthe dekhlo tader prank.",Bad Civic Sense,Good Civic Sense,Manush jokhon ghumay tokhon tader shathe kichu kora bhalo na.
Banglish,morality-ethics,"Shoptaho-r por shoptaho dhore tar priyo bondhu-r kach theke kono uttor na peye Priya gobhir dukkho o bhranti onubhob korlo. She tader shesh kothopokothon mone kore bhabchilo, hotath emon nirobotar karon ki hote pare.",Good Civic Sense,Bad Civic Sense,Apnar priyojon kotha bola bondho kore dile koshto pawa shabhabik.
Bangla,social-norms,"রিনা তীব্র ব্যথা অনুভব করলেও অফিসের মিটিংয়ে হাসিমুখে ছিলেন, সহকর্মীদের তার মাইগ্রেনের কথা জানিয়ে বিব্রত করতে চাননি। পরে তিনি চুপচাপ অনুমতি নিয়ে ওষুধ খেতে গেলেন।",Good Civic Sense,Bad Civic Sense,নিজের স্বাস্থ্য সমস্যা অন্য মানুষের উপর চাপিয়ে না দেওয়াটা বিবেচনাপ্রসূত।
Bangla,morality-ethics,"অফিসের পার্টি শেষ হতে অনেক রাত হয়ে গিয়েছিল। সারাহ তার সহকর্মী মার্ককে লিফট দিল, কারণ তার বাড়ি সারাহর বাড়ির পথেই ছিল। সে মার্ককে নিরাপদে তার দরজায় পৌঁছে দিল, তাকে ট্যাক্সির জন্য দীর্ঘ অপেক্ষা থেকে বাঁচালো।",Good Civic Sense,Bad Civic Sense,মানুষকে বাড়ি পৌঁছে দেওয়া ভালো কাজ।
English,morality-ethics|social-norms,"After two years with Maya, Rohan started developing feelings for his new colleague, Tina. Instead of ending things with Maya first, he began secretly seeing Tina, leading a double life that soon became emotionally draining and dishonest.",Good Civic Sense,Bad Civic Sense,It is expected that you do not cheat while you are in a relationship.
Bangla,social-norms,"ভিড়ের বাসে একজন বৃদ্ধা লাঠি হাতে উঠলেন। রাজ ফোনে মগ্ন হয়ে তাকে উপেক্ষা করল, যখন অন্যরা দাঁড়িয়ে ছিল, নিজের সিট ছাড়ার কোনো উদ্যোগ নিল না।",Good Civic Sense,Bad Civic Sense,এটা প্রত্যাশিত যে আপনি একজন বয়স্ক বা প্রতিবন্ধী ব্যক্তিকে বাসের সিট ছেড়ে দেবেন।
Banglish,morality-ethics,"Amar choto bon jokhon tar diner kotha bolte cheyechhilo, ami take shudhu ek shobde uttor diyechhilam ebong chokher dike takaini. She sottyi aghat peyechhilo ebong chupchap chole gelo.",Bad Civic Sense,Good Civic Sense,Bhaiboner sathe emon shital achoron kora obhodrota.
Banglish,morality-ethics,"During a group presentation, when questioned about a specific slide, Rohit deflected, saying, ""That part was assigned to Sara."" Even though he was part of the overall team, he avoided taking any shared responsibility, making Sara feel exposed and unsupported.",Good Civic Sense,Bad Civic Sense,Apnar shorboda apnar upor orpito kajer dayitto newa uchit.
Banglish,morality-ethics|social-norms,"Amar roommate shobshomoy koyekdin dhore thalabashon sink-e fele rakhe, asha kore je ami shegulo porishkar korbo. Amake tader nongrami oshongkhyobar porishkar korte hoyeche.",Good Civic Sense,Bad Civic Sense,Apnar roommate-er shathe porichchonnotar dayitto bhag kore neowa uchit.
Bangla,social-norms,"সারার ছোটবেলার বন্ধু তাকে বিয়েতে ব্রাইডসমেইড হতে বলেছিল। সারা কোনো সঠিক কারণ ছাড়াই না করে দিল, যা তার বন্ধুকে এই বড় মুহূর্তে একা অনুভব করালো।",Good Civic Sense,Bad Civic Sense,বন্ধুদের জীবনের বড় অনুষ্ঠানে অংশ নেওয়া উচিত যদি তারা অনুরোধ করে।
Banglish,social-norms,"Maya'r jonmodin ghoniye eshtei, she ekta bishal, jomkalo party'r kotha ullekh korlo. Tobey, tar baba-ma mone korechilen je tar jonno eto byaybahul udjaponer protasha kora ojauktik.",Bad Civic Sense,Good Civic Sense,Apnar baba-ma'r kach theke apnar jonmodiner jonno ekta bishal party'r protasha kora uchit noy.
Banglish,social-norms,"Bitter divorce er por, John tar ex-wife Sarah ke tar office holiday party te invite korlo. Tar new girlfriend khub uncomfortable feel korlo, ebong shobai er jonno environment ta tense hoye gelo.",Good Civic Sense,Bad Civic Sense,Ex-wife ke social gathering e invite kora inappropriate hote pare.
English,morality-ethics,"My friend, Alex, consistently made insensitive and demeaning comments about transgender people, despite me repeatedly explaining why his words were hurtful and disrespectful.",Good Civic Sense,Bad Civic Sense,You should try to respect others.
English,morality-ethics|social-norms,"I agreed to go on a second date with him, but I'm not sure if I have any real feelings. I feel obligated to continue.",Bad Civic Sense,Good Civic Sense,It's wrong to date someone that you don't really like.
Bangla,social-norms,"বাবার মৃত্যুর পর, রাহুল আত্মীয়দের কাছে আর্থিক কষ্টের কথা ঘুরিয়ে ফিরিয়ে বোঝানোর চেষ্টা করছিল, যেন তারা দাফন-কাফনের খরচ বহন করে, যদিও তার নিজের কিছু সঞ্চয় ছিল। সে তাদের সাহায্যের জন্য নিজেকে যোগ্য মনে করছিল।",Bad Civic Sense,Good Civic Sense,দাফন-কাফনের খরচের ক্ষেত্রে আপনার সাহায্য আশা করা উচিত নয়।
Bangla,social-norms|description,"মা আট বছর বয়সী মায়াকে তার বন্ধুর বাড়িতে স্লিপওভারে যেতে বললেন, মজা করার প্রতিশ্রুতি দিয়ে। মায়া, লাজুক এবং ক্লান্ত অনুভব করে, বিনয়ের সাথে প্রত্যাখ্যান করল। তার মা, প্রত্যাখ্যানের কারণে হতাশ হয়ে, চিৎকার করতে শুরু করলেন, জোর দিয়ে বললেন মায়াকে বন্ধু বানানোর জন্য অবশ্যই যেতে হবে।",Good Civic Sense,Bad Civic Sense,একটি সন্তানের তার বাবা-মায়ের কথা শোনা উচিত।
Banglish,social-norms|description,"Maria's boyfriend bola ek ghontar modhye ashbe, kintu 4 ghonta pore elo. Maria waiting e khub frustrated ar angry hoye gelo.",Good Civic Sense,Bad Civic Sense,"Jokhon keu expect kora shomoy moto na eshe late kore, tokhon raag kora normal."
Banglish,morality-ethics,"Bochorer por bochor dhore neshagrostho bhai-ke shahajjo korar chesta korar por, Mina shiddhanto nilo je take ar shomorthon debe na. She arthik o manoshik shahajjo bondho kore dilo, ei ashay je eti take shottikarer shahajjo chaite badhyo korbe.",Bad Civic Sense,Good Civic Sense,Madokasokto poribarer shodosyoke shomorthon kora chaliye jawar cheye shomporko chhinno kora doyalu kaj.
Banglish,social-norms|advice,"Maya tar bondhuder upor jor korchilo tader purbo-nirdharito shoptahanter porikolpona batil kore tar sesh muhurter party te aste, ja tader tar odhikar na dewar jonno oporadhi onubhob korachhilo.",Good Civic Sense,Bad Civic Sense,Tomar onnyoder porikolponake shomman kora uchit.
English,morality-ethics,"After dating for years, Mark noticed his girlfriend, Lisa, had gained weight. He found himself less attracted to her, a feeling he struggled with privately, questioning his own values.",Bad Civic Sense,Good Civic Sense,You shouldn't like someone less because they gain weight.
Banglish,social-norms,"Dirgho ek shoptaho kajer por, Sarah shobshomoy-i shoptahanto-r opekhkhay thakto. Tar shobcheye boro anondo chhilo baba-ma ebong chhoto bhaibon-der shathe bhalo shomoy katano, protiti muhurto-ke upobhog kora.",Good Civic Sense,Bad Civic Sense,Poribarer shathe thakte chaoyatai shabhabik.
Bangla,morality-ethics,"সারা তার বয়ফ্রেন্ড টমকে বই বিক্রেতার সাথে নতুন বই নিয়ে গল্প করতে দেখে ঈর্ষান্বিত হলো। সে দ্রুত টমকে সেখান থেকে টেনে নিয়ে গেল, বললো তাদের এখনই যেতে হবে।",Bad Civic Sense,Good Civic Sense,অন্য কাউকে নিয়ন্ত্রণ করার চেষ্টা করা ভুল।
English,advice,"Rina's friend suggested she see a doctor about her persistent cough. Rina brushed it off, thinking it was just a minor cold. Later, her condition worsened, and she regretted not taking her friend's advice earlier.",Good Civic Sense,Bad Civic Sense,You should listen to the advice others.
English,advice,"Despite feeling drained and unfulfilled, Rohan stayed at his banking job for years, fearing the uncertainty of finding a new path.",Bad Civic Sense,Good Civic Sense,You should not continue to do a job you do not want to do.
Bangla,social-norms,রাজ প্রতিদিনের মতো জোরে গিটার বাজানো শুরু করলো। কিছুক্ষণ পর তার প্রতিবেশী এসে অভিযোগ করলো যে তাদের দেয়াল কাঁপছে এবং বাচ্চা কাঁদছে। রাজ বুঝলো তার গান অন্যদের বিরক্ত করছে।,Bad Civic Sense,Good Civic Sense,"এত জোরে গান বাজানো অভদ্রতা, যা অন্যদের বিরক্ত করে।"
Banglish,social-norms|advice,Sara tar bhai Mark-er khorocher obhyas niye constantly irritate korto. She jor korto tar purono gari sell kore tar posonder stock-e invest korte. Even ekbar tar investment account-e login korar try-o korechhilo.,Bad Civic Sense,Good Civic Sense,Apnar onyo karo financial matters niye dictate kora uchit noy.
English,morality-ethics,"I overheard my friend's girlfriend badmouthing him. I felt obligated to tell him what I heard, even though it might cause trouble.",Good Civic Sense,Bad Civic Sense,"It's understandable to want to look out for a friend. Honesty, even when difficult, is often best."
English,morality-ethics,"My grandmother's doctor misdiagnosed her condition, leading to unnecessary treatment and prolonged suffering. We had to file a formal complaint due to his negligence and lack of proper care.",Good Civic Sense,Bad Civic Sense,It is expected for medical professionals to do their job correctly.
Bangla,description,"আমার বন্ধু গভীর ঘুমে ছিল, আর আমি ভেবেছিলাম আমাদের ভ্রমণের জন্য তাকে জাগাতে তার মুখে এক গ্লাস ঠান্ডা জল ঢেলে দেওয়াটা মজাদার হবে।",Bad Civic Sense,Good Civic Sense,কাউকে এক গ্লাস জল দিয়ে জাগানো ভুল।
Bangla,advice,"প্রিয়া স্থানীয় একজন রাজনীতিবিদকে নিয়ে একটি মিম খুব মজার মনে করে পোস্ট করলো। কয়েক ঘণ্টার মধ্যেই তার ইনবক্স রাগান্বিত বার্তা এবং নেতিবাচক মন্তব্যে ভরে গেল, যা তাকে হঠকারী পোস্টের জন্য অনুতপ্ত করলো।",Good Civic Sense,Bad Civic Sense,ইন্টারনেটে আপনি যা পোস্ট করছেন সে সম্পর্কে সচেতন থাকা উচিত।
Bangla,morality-ethics,"আমার কাজিনের ছেলের একটি দীর্ঘস্থায়ী রোগ ধরা পড়েছিল, এবং আমি লক্ষ্য করেছিলাম যে কিছু আত্মীয় তাকে ভিন্নভাবে ব্যবহার করতে শুরু করেছে, যোগাযোগ এড়িয়ে চলেছে এবং সত্যিকারের ভালোবাসা ও যত্নের পরিবর্তে করুণার সাথে তার সম্পর্কে কথা বলছে।",Bad Civic Sense,Good Civic Sense,একটি রোগের কারণে পরিবারের কোনো সদস্যকে কম ভালোবাসা অভদ্রতা।
Bangla,morality-ethics,আমার বোন খুব অসুস্থ। আমি তাকে বলেছি যে সে যদি আজই দত্তক নেওয়ার কাগজে স্বাক্ষর করে তবেই আমি তার বাচ্চাদের সাহায্য করব। এটি একটি কঠোর দাবি ছিল।,Bad Civic Sense,Good Civic Sense,কাউকে চরমপত্র বা আল্টিমেটাম দেওয়া অভদ্রতা।
